epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.648060,0.639744,0.489916,0.641096,0.621976,0.608208
2,0.633482,0.650948,0.516521,0.632428,0.651478,0.583438
3,0.627006,0.654863,0.526435,0.631178,0.636052,0.619244
4,0.623016,0.657992,0.532385,0.633746,0.656668,0.566200
5,0.620563,0.660634,0.533317,0.623282,0.653032,0.614700
6,0.618870,0.661854,0.538303,0.618839,0.644265,0.633566
7,0.616374,0.665746,0.535044,0.619349,0.649462,0.630626
8,0.615058,0.666227,0.544814,0.622100,0.648705,0.630359
9,0.612843,0.667706,0.546718,0.618468,0.647282,0.633866
10,0.610989,0.669387,0.549103,0.618154,0.640063,0.639909
11,0.608621,0.669033,0.553955,0.620232,0.654343,0.628648
12,0.609806,0.669884,0.552111,0.616918,0.651208,0.632682
13,0.606423,0.671976,0.557173,0.615562,0.654040,0.636155
14,0.606615,0.672274,0.556608,0.616089,0.647071,0.639765
15,0.606178,0.672266,0.555682,0.617629,0.660627,0.626231
16,0.603505,0.675442,0.558165,0.614893,0.650108,0.639689
17,0.605446,0.672992,0.561172,0.622621,0.623497,0.643548
18,0.604245,0.673378,0.563937,0.623755,0.619835,0.644602
19,0.601522,0.676620,0.560806,0.620028,0.635452,0.641384
20,0.601205,0.676586,0.562422,0.619437,0.639299,0.641755
21,0.601925,0.674968,0.562661,0.619073,0.646722,0.638673
22,0.601713,0.676575,0.562408,0.615158,0.648685,0.641776
23,0.601041,0.677350,0.561807,0.617799,0.639128,0.642283
24,0.600316,0.676118,0.566686,0.617803,0.639879,0.639852
25,0.601303,0.676188,0.565648,0.621177,0.628424,0.643909
26,0.600483,0.676919,0.566914,0.622868,0.621969,0.646305
27,0.599862,0.677235,0.567441,0.615461,0.655825,0.635520
28,0.599411,0.676565,0.565979,0.616139,0.650477,0.638687
29,0.599431,0.677060,0.565691,0.615079,0.658881,0.635153
30,0.598777,0.677147,0.565766,0.617748,0.637955,0.644601
31,0.597316,0.679079,0.567213,0.614122,0.664526,0.625583
32,0.597219,0.679433,0.567966,0.617714,0.636592,0.645338
33,0.595931,0.680458,0.568364,0.617879,0.644740,0.641350
34,0.595569,0.678812,0.571506,0.617367,0.643541,0.639040
35,0.595742,0.679102,0.573101,0.620676,0.629807,0.645508
36,0.596140,0.678638,0.569877,0.615951,0.643429,0.640263
37,0.593716,0.681948,0.571243,0.614187,0.654442,0.639328
38,0.594430,0.680327,0.571697,0.614620,0.648626,0.641178
39,0.595394,0.679109,0.573536,0.618716,0.630683,0.647341
40,0.594982,0.679996,0.574064,0.615622,0.647190,0.642119
41,0.596213,0.679360,0.572897,0.627897,0.609883,0.643840
42,0.594733,0.680010,0.573383,0.618822,0.635452,0.642075
43,0.594622,0.679885,0.574713,0.616350,0.650516,0.638191
44,0.593046,0.681137,0.572562,0.614568,0.649732,0.643364
45,0.592493,0.681827,0.576696,0.615947,0.640748,0.644539
46,0.592956,0.680713,0.574915,0.622691,0.630222,0.639087
47,0.593299,0.679700,0.578243,0.619067,0.630598,0.646198
48,0.593510,0.680559,0.574469,0.614809,0.648962,0.642654
49,0.593141,0.680875,0.574532,0.614296,0.649304,0.642691
50,0.592091,0.681157,0.573891,0.616774,0.644819,0.641458
51,0.592936,0.680357,0.577282,0.614309,0.657511,0.636092
52,0.590349,0.683007,0.576280,0.612564,0.654890,0.640754
53,0.592266,0.681775,0.575225,0.622219,0.629057,0.643164
54,0.592234,0.681591,0.573526,0.618642,0.631632,0.645356
